seed	initial_sol	operators	initial_packRests	initial_cost	final_cost	final_packRests	ex_time
1234	2	1	0	1021.8549999999999	796.2599999999993	0	540
1111	2	1	0	1258.4250000000004	1045.3349999999996	0	156
2222	2	1	0	1113.675	894.8999999999996	0	370
333	2	1	0	1303.9250000000004	1045.63	0	65
444	2	1	0	1223.6149999999998	959.5100000000004	0	143
555	2	1	0	1189.6700000000005	1016.9850000000006	0	68
666	2	1	0	1148.8200000000006	941.1850000000003	0	117
777	2	1	0	1264.22	1030.5300000000016	0	169
888	2	1	0	1188.9899999999996	995.4200000000001	0	120
999	2	1	0	1226.7200000000003	1021.4550000000011	0	132
